ProductId,ProductName,Price,Stock,Description,ProductIcon,CategoryType
L05,CRISLAN SOFA (3+2 SEATER),54990,35, Add soothing charisma to your home décor with the Crislan sofa.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/v/v/vvsdvsd.jpg,1
L06,ANDREA 3 + 1 + 1 SEATER,39900,50,"Durable structure, premium fabric and ergonomical design, compact design",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/a/n/andrea11.jpg,1
L07,LEON SOFA (3 + 2 SEATER),83000,80,An elegant masterpiece that enhances the impression of your lounge.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/v/s/vsv.jpg,1
L08,PROXIMA SOFA (3+2 SEATER),55000,66,It`s compact and is optimum in it`s design.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/h/g/hgyy.jpg,1
B05,MERCURY NIGHT STAND,990,45,Compact night stand with open shelves.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/b/k/bkcm001_m42_1__4.jpg,0
B06,CARVIN NIGHT STAND,5990,60,Melamine-faced engineered wood & MDF,https://damroindia.com/media/catalog/product/cache/5/small_image/200x300/50d3a2473afa9dcede73faf3544c1f43/k/c/kcca001_wgm02_1_.jpg,0
B07,VENICE 4 PIECE  BEDROOM SET,54900,48,Two tone design with Melamine finish,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/r/4/r4re_1.jpg,0
B08,BRILLIANT KING SIZE BED,49900,40,"MDF Solid Rubber Wood,Timber veener and MDF",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/b/r/brilliant_1_1.png,0
D05,NEVADA 7 PIECE DINING SET,55900,56,"Solid Rubberwood structure, MDF with Veeneer top, Premium Fabric Upholstered seat",https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/n/e/nevada_001.jpg,2
D06,DINING CABINET,21900,60,Melamine-faced engineered wood.,https://damroindia.com/media/catalog/product/cache/5/small_image/275x275/50d3a2473afa9dcede73faf3544c1f43/k/d/kdc007_m42_1_.jpg,2
